project,exp h1-precision,exp_p1 h1-precision,exp h1-recall,exp_p1 h1-recall,exp h2-precision,exp_p1 h2-precision,exp h2-recall,exp_p1 h2-recall,exp h3-precision,exp_p1 h3-precision,exp h3-recall,exp_p1 h3-recall,exp h4-precision,exp_p1 h4-precision,exp h4-recall,exp_p1 h4-recall,exp h5-precision,exp_p1 h5-precision,exp h5-recall,exp_p1 h5-recall,exp h6-precision,exp_p1 h6-precision,exp h6-recall,exp_p1 h6-recall,exp h7-precision,exp_p1 h7-precision,exp h7-recall,exp_p1 h7-recall,exp h8-precision,exp_p1 h8-precision,exp h8-recall,exp_p1 h8-recall,exp h9-precision,exp_p1 h9-precision,exp h9-recall,exp_p1 h9-recall,exp h10-precision,exp_p1 h10-precision,exp h10-recall,exp_p1 h10-recall,exp h11-precision,exp_p1 h11-precision,exp h11-recall,exp_p1 h11-recall,exp h12-precision,exp_p1 h12-precision,exp h12-recall,exp_p1 h12-recall,exp h13-precision,exp_p1 h13-precision,exp h13-recall,exp_p1 h13-recall,exp h14-precision,exp_p1 h14-precision,exp h14-recall,exp_p1 h14-recall,exp h15-precision,exp_p1 h15-precision,exp h15-recall,exp_p1 h15-recall,exp h16-precision,exp_p1 h16-precision,exp h16-recall,exp_p1 h16-recall,exp h17-precision,exp_p1 h17-precision,exp h17-recall,exp_p1 h17-recall,exp h18-precision,exp_p1 h18-precision,exp h18-recall,exp_p1 h18-recall,exp h19-precision,exp_p1 h19-precision,exp h19-recall,exp_p1 h19-recall,exp h20-precision,exp_p1 h20-precision,exp h20-recall,exp_p1 h20-recall
imagededup,93.0233%,93.0233%,6.4725%,6.4725%,74.4186%,74.4186%,9.8765%,9.8765%,69.7674%,69.7674%,13.6364%,13.6364%,53.4884%,53.4884%,18.2540%,18.2540%,48.8372%,48.8372%,22.8261%,22.8261%,46.5116%,46.5116%,24.3902%,24.3902%,37.2093%,37.2093%,26.6667%,26.6667%,32.5581%,32.5581%,30.4348%,30.4348%,25.5814%,25.5814%,32.3529%,32.3529%,20.9302%,20.9302%,37.5000%,37.5000%,18.6047%,18.6047%,36.3636%,36.3636%,16.2791%,16.2791%,35.0000%,35.0000%,16.2791%,16.2791%,38.8889%,38.8889%,16.2791%,16.2791%,43.7500%,43.7500%,13.9535%,13.9535%,42.8571%,42.8571%,9.3023%,9.3023%,40.0000%,40.0000%,6.9767%,6.9767%,37.5000%,37.5000%,6.9767%,6.9767%,37.5000%,37.5000%,6.9767%,6.9767%,37.5000%,37.5000%,2.3256%,2.3256%,50.0000%,50.0000%
imbalanced-learn,88.1356%,87.6582%,2.5101%,2.6743%,76.6102%,76.2658%,3.4567%,3.6861%,52.5424%,53.1646%,3.8347%,4.1564%,34.9153%,36.0759%,4.0297%,4.4601%,25.0847%,24.3671%,4.9731%,5.1747%,20.6780%,20.2532%,6.0516%,6.3492%,16.9492%,16.7722%,7.1429%,7.5714%,11.8644%,12.0253%,6.5789%,7.1429%,6.4407%,6.9620%,5.1630%,5.9783%,4.0678%,4.7468%,3.9216%,4.9020%,2.7119%,2.8481%,3.0534%,3.4351%,2.0339%,2.2152%,2.8037%,3.2710%,1.0169%,0.9494%,2.1739%,2.1739%,1.0169%,0.9494%,2.7273%,2.7273%,0.6780%,0.6329%,2.9412%,2.9412%,0.6780%,0.6329%,5.5556%,5.5556%,0.3390%,0.3165%,6.2500%,6.2500%,0.3390%,0.3165%,12.5000%,12.5000%,0.3390%,0.3165%,12.5000%,12.5000%,0.3390%,0.3165%,12.5000%,12.5000%
impacket,100.0000%,99.8301%,1.3091%,1.6056%,72.3382%,71.7927%,2.2541%,2.7485%,50.1044%,48.8530%,2.4686%,2.9572%,39.3528%,36.6185%,2.9125%,3.3297%,31.3152%,28.7171%,3.5646%,4.0162%,25.1566%,23.6194%,4.5852%,5.2892%,17.7453%,17.3322%,6.7035%,8.0442%,13.3612%,12.9992%,7.8528%,9.3865%,11.8998%,11.1300%,9.0909%,10.4466%,9.6033%,9.0909%,9.1451%,10.6362%,7.6200%,7.3917%,9.3350%,11.1253%,6.7850%,6.5421%,10.2848%,12.1835%,5.1148%,4.9278%,10.2510%,12.1339%,3.4447%,3.5684%,8.5938%,10.9375%,2.7140%,2.8037%,8.2278%,10.4430%,1.8789%,2.0391%,7.6923%,10.2564%,1.5658%,1.7842%,8.2418%,11.5385%,1.2526%,1.4444%,8.1081%,11.4865%,0.6263%,0.8496%,5.7692%,9.6154%,0.5219%,0.6797%,6.9444%,11.1111%
InstaPy,93.8144%,88.7931%,10.6061%,12.0047%,76.2887%,71.5517%,13.9623%,15.6604%,70.1031%,64.6552%,16.4251%,18.1159%,59.7938%,56.0345%,17.7914%,19.9387%,54.6392%,51.7241%,19.7761%,22.3881%,51.5464%,49.1379%,23.1481%,26.3889%,40.2062%,38.7931%,22.1591%,25.5682%,35.0515%,33.6207%,22.9730%,26.3514%,28.8660%,27.5862%,22.2222%,25.3968%,26.8041%,25.0000%,24.0741%,26.8519%,26.8041%,25.0000%,26.0000%,29.0000%,25.7732%,24.1379%,26.5957%,29.7872%,25.7732%,24.1379%,30.4878%,34.1463%,23.7113%,20.6897%,32.8571%,34.2857%,23.7113%,20.6897%,35.9375%,37.5000%,23.7113%,20.6897%,35.9375%,37.5000%,23.7113%,20.6897%,38.3333%,40.0000%,21.6495%,18.9655%,38.8889%,40.7407%,20.6186%,18.1034%,38.4615%,40.3846%,20.6186%,18.1034%,38.4615%,40.3846%
invoke,86.7925%,82.5949%,2.9173%,3.3105%,48.3019%,47.1519%,5.3156%,6.1877%,39.6226%,39.5570%,8.4405%,10.0482%,30.9434%,32.2785%,12.7726%,15.8879%,21.1321%,22.7848%,14.2857%,18.3673%,18.8679%,19.9367%,18.3824%,23.1618%,13.9623%,15.1899%,19.8925%,25.8065%,10.9434%,12.0253%,20.1389%,26.3889%,8.3019%,9.4937%,19.6429%,26.7857%,7.5472%,8.8608%,21.2766%,29.7872%,6.0377%,6.9620%,22.8571%,31.4286%,5.2830%,6.3291%,24.1379%,34.4828%,4.9057%,5.6962%,27.0833%,37.5000%,4.5283%,5.0633%,30.0000%,40.0000%,3.7736%,4.4304%,29.4118%,41.1765%,3.0189%,3.7975%,28.5714%,42.8571%,3.0189%,3.7975%,28.5714%,42.8571%,2.6415%,3.4810%,26.9231%,42.3077%,1.8868%,2.5316%,27.7778%,44.4444%,1.8868%,2.5316%,27.7778%,44.4444%
ipython,75.0670%,76.4948%,2.0983%,2.7803%,57.5067%,57.9381%,4.2009%,5.5033%,43.0295%,43.2990%,6.8590%,8.9744%,31.5013%,31.5464%,9.0454%,11.7783%,24.5308%,25.0515%,11.7308%,15.5769%,18.2306%,19.0722%,13.9344%,18.9549%,15.1475%,15.6701%,15.9605%,21.4689%,13.1367%,13.6082%,18.4906%,24.9057%,10.7239%,11.3402%,20.1005%,27.6382%,8.9812%,9.6907%,21.8954%,30.7190%,6.8365%,7.5258%,22.5664%,32.3009%,5.7641%,6.5979%,23.1183%,34.4086%,4.6917%,5.4639%,23.6486%,35.8108%,4.5576%,5.2577%,24.6377%,36.9565%,4.0214%,4.7423%,26.3158%,40.3509%,3.2172%,3.9175%,25.5319%,40.4255%,3.0831%,3.7113%,28.7500%,45.0000%,2.8150%,3.1959%,31.8182%,46.9697%,2.6810%,2.9897%,34.4828%,50.0000%,2.4129%,2.6804%,34.6154%,50.0000%
isort,57.9487%,58.0000%,6.0299%,6.1900%,37.9487%,38.0000%,12.1711%,12.5000%,30.7692%,30.0000%,17.4419%,17.4419%,22.0513%,21.5000%,18.3761%,18.3761%,18.9744%,18.5000%,19.2708%,19.2708%,16.4103%,16.0000%,20.2532%,20.2532%,13.8462%,13.5000%,24.1071%,24.1071%,11.2821%,11.0000%,30.5556%,30.5556%,10.2564%,10.0000%,32.2581%,32.2581%,8.2051%,8.0000%,33.3333%,33.3333%,7.1795%,7.0000%,31.8182%,31.8182%,6.6667%,6.5000%,32.5000%,32.5000%,6.6667%,6.5000%,38.2353%,38.2353%,5.6410%,5.5000%,39.2857%,39.2857%,4.6154%,4.5000%,37.5000%,37.5000%,4.6154%,4.5000%,37.5000%,37.5000%,4.6154%,4.5000%,40.9091%,40.9091%,4.1026%,4.0000%,44.4444%,44.4444%,2.5641%,2.5000%,35.7143%,35.7143%,2.5641%,2.5000%,41.6667%,41.6667%
jax,85.2166%,83.6052%,3.1891%,3.4322%,52.6365%,51.8455%,4.6614%,5.0367%,36.9115%,35.6223%,6.1986%,6.5623%,29.0960%,28.0687%,7.5366%,7.9756%,24.1996%,23.3476%,8.8014%,9.3151%,20.3390%,19.8283%,9.6861%,10.3587%,18.6441%,18.2833%,11.3793%,12.2414%,16.5725%,16.3090%,13.4146%,14.4817%,14.5951%,14.3348%,14.5677%,15.6955%,12.9002%,12.7039%,15.8565%,17.1296%,11.5819%,11.5021%,17.0360%,18.5596%,10.8286%,10.7296%,18.3706%,19.9681%,9.8870%,9.6996%,18.9531%,20.3971%,9.1337%,9.0129%,19.7154%,21.3415%,8.4746%,8.3262%,20.9302%,22.5581%,7.8154%,7.7253%,21.8421%,23.6842%,7.3446%,7.2961%,22.9412%,25.0000%,6.4030%,6.3519%,22.8188%,24.8322%,5.7439%,5.6652%,24.4000%,26.4000%,5.4614%,5.3219%,27.1028%,28.9720%
jieba,94.4444%,92.1053%,2.3611%,2.4306%,77.7778%,73.6842%,2.9915%,2.9915%,61.1111%,57.8947%,3.8328%,3.8328%,52.7778%,50.0000%,6.8345%,6.8345%,44.4444%,42.1053%,12.5000%,12.5000%,33.3333%,31.5789%,13.0435%,13.0435%,22.2222%,21.0526%,12.5000%,12.5000%,16.6667%,15.7895%,15.0000%,15.0000%,11.1111%,10.5263%,18.1818%,18.1818%,11.1111%,10.5263%,20.0000%,20.0000%,11.1111%,10.5263%,22.2222%,22.2222%,11.1111%,10.5263%,25.0000%,25.0000%,5.5556%,5.2632%,16.6667%,16.6667%,5.5556%,5.2632%,16.6667%,16.6667%,5.5556%,5.2632%,20.0000%,20.0000%,5.5556%,5.2632%,25.0000%,25.0000%,5.5556%,5.2632%,25.0000%,25.0000%,5.5556%,5.2632%,25.0000%,25.0000%,5.5556%,5.2632%,25.0000%,25.0000%,5.5556%,5.2632%,25.0000%,25.0000%
jsonschema,93.1818%,93.3333%,8.7234%,11.9149%,90.9091%,88.3333%,13.3333%,17.6667%,84.0909%,80.0000%,16.0870%,20.8696%,72.7273%,70.0000%,18.6047%,24.4186%,56.8182%,55.0000%,22.3214%,29.4643%,47.7273%,48.3333%,22.3404%,30.8511%,40.9091%,43.3333%,23.6842%,34.2105%,38.6364%,41.6667%,25.0000%,36.7647%,31.8182%,36.6667%,24.1379%,37.9310%,25.0000%,31.6667%,22.0000%,38.0000%,20.4545%,26.6667%,21.4286%,38.0952%,20.4545%,26.6667%,22.5000%,40.0000%,18.1818%,25.0000%,22.2222%,41.6667%,15.9091%,23.3333%,20.5882%,41.1765%,15.9091%,20.0000%,25.0000%,42.8571%,11.3636%,16.6667%,20.8333%,41.6667%,9.0909%,15.0000%,20.0000%,45.0000%,4.5455%,10.0000%,16.6667%,50.0000%,4.5455%,10.0000%,16.6667%,50.0000%,4.5455%,10.0000%,20.0000%,60.0000%
jumpserver,74.4925%,71.4487%,2.1916%,2.3340%,37.6366%,36.4744%,4.9184%,5.2925%,21.1348%,20.5345%,6.4794%,6.9901%,13.6908%,13.5021%,8.2136%,8.9944%,10.0469%,9.7515%,9.8570%,10.6231%,7.8084%,7.5949%,11.4329%,12.3476%,6.0385%,5.9072%,12.7473%,13.8462%,4.4768%,4.3601%,13.9610%,15.0974%,3.8001%,3.7037%,16.8981%,18.2870%,3.2275%,3.0942%,18.6747%,19.8795%,2.7590%,2.6254%,20.0758%,21.2121%,2.3946%,2.2504%,21.4953%,22.4299%,2.0822%,1.9691%,23.8095%,25.0000%,1.9781%,1.8284%,27.5362%,28.2609%,1.6137%,1.5002%,27.6786%,28.5714%,1.4576%,1.3127%,31.1111%,31.1111%,1.2493%,1.1252%,32.4324%,32.4324%,1.0932%,0.9845%,31.8182%,31.8182%,0.9370%,0.8439%,31.0345%,31.0345%,0.8329%,0.7501%,33.3333%,33.3333%
kafka-python,77.2414%,77.0874%,5.4705%,6.4637%,47.3563%,47.7670%,8.6773%,10.3623%,25.7471%,27.3786%,13.5922%,17.1117%,16.3218%,17.8641%,13.6538%,17.6923%,12.6437%,13.5922%,15.8046%,20.1149%,9.6552%,10.0971%,17.3554%,21.4876%,6.8966%,7.3786%,17.2414%,21.8391%,5.9770%,6.6019%,18.5714%,24.2857%,5.7471%,6.2136%,21.1864%,27.1186%,5.0575%,5.4369%,22.4490%,28.5714%,4.3678%,4.6602%,25.6757%,32.4324%,4.1379%,4.2718%,33.3333%,40.7407%,3.4483%,3.4951%,34.0909%,40.9091%,3.2184%,2.9126%,36.8421%,39.4737%,3.2184%,2.9126%,36.8421%,39.4737%,2.7586%,2.3301%,37.5000%,37.5000%,2.7586%,2.3301%,40.0000%,40.0000%,2.2989%,1.9417%,38.4615%,38.4615%,1.8391%,1.5534%,36.3636%,36.3636%,1.8391%,1.5534%,36.3636%,36.3636%
KaraKara,59.7826%,59.7087%,6.2007%,6.9335%,45.6522%,46.1165%,8.0925%,9.1522%,34.7826%,34.9515%,9.5808%,10.7784%,26.6304%,27.6699%,13.8418%,16.1017%,18.4783%,20.3883%,15.8879%,19.6262%,14.1304%,16.0194%,16.4557%,20.8861%,9.7826%,11.6505%,15.2542%,20.3390%,7.0652%,8.2524%,17.1053%,22.3684%,5.9783%,7.2816%,18.3333%,25.0000%,5.4348%,6.3107%,20.8333%,27.0833%,3.8043%,4.3689%,18.4211%,23.6842%,3.2609%,3.8835%,18.7500%,25.0000%,3.2609%,3.8835%,20.0000%,26.6667%,2.7174%,3.3981%,17.8571%,25.0000%,2.1739%,2.9126%,16.6667%,25.0000%,1.6304%,2.4272%,13.6364%,22.7273%,1.0870%,1.4563%,12.5000%,18.7500%,1.0870%,1.4563%,14.2857%,21.4286%,1.0870%,1.4563%,20.0000%,30.0000%,1.0870%,1.4563%,25.0000%,37.5000%
keras,71.7250%,68.3369%,4.2802%,4.9613%,48.6381%,45.2026%,5.4697%,6.1844%,33.8521%,31.3433%,6.7547%,7.6087%,23.3463%,21.3220%,7.5567%,8.3963%,17.2503%,15.8849%,8.1595%,9.1411%,11.5435%,11.0874%,7.7797%,9.0909%,9.9870%,9.7015%,8.9120%,10.5324%,7.6524%,7.6759%,8.9394%,10.9091%,5.8366%,5.8635%,8.5878%,10.4962%,4.5396%,4.7974%,8.2938%,10.6635%,3.7613%,3.8380%,8.4302%,10.4651%,3.3722%,3.4115%,8.9655%,11.0345%,2.9831%,3.0917%,8.9147%,11.2403%,2.7237%,2.7719%,9.5455%,11.8182%,2.3346%,2.3454%,9.0000%,11.0000%,2.2049%,2.2388%,8.9474%,11.0526%,1.8158%,1.9190%,8.2353%,10.5882%,1.6861%,1.8124%,8.1250%,10.6250%,1.2970%,1.4925%,7.3529%,10.2941%,0.9079%,1.1727%,5.8333%,9.1667%
keras-retinanet,94.0678%,93.9850%,6.8182%,7.6781%,72.0339%,72.9323%,10.6784%,12.1859%,58.4746%,58.6466%,14.6186%,16.5254%,34.7458%,36.8421%,15.5303%,18.5606%,23.7288%,25.5639%,16.0920%,19.5402%,19.4915%,21.0526%,16.1972%,19.7183%,16.1017%,18.0451%,16.6667%,21.0526%,11.0169%,12.7820%,16.6667%,21.7949%,6.7797%,7.5188%,14.2857%,17.8571%,5.9322%,6.0150%,14.5833%,16.6667%,5.9322%,6.0150%,16.6667%,19.0476%,4.2373%,4.5113%,17.8571%,21.4286%,4.2373%,4.5113%,22.7273%,27.2727%,4.2373%,4.5113%,22.7273%,27.2727%,3.3898%,3.7594%,25.0000%,31.2500%,2.5424%,3.0075%,25.0000%,33.3333%,2.5424%,3.0075%,30.0000%,40.0000%,2.5424%,3.0075%,30.0000%,40.0000%,1.6949%,2.2556%,25.0000%,37.5000%,0.8475%,1.5038%,16.6667%,33.3333%
kinto,99.0566%,98.8636%,1.5492%,2.2464%,96.2264%,95.9416%,1.8776%,2.7197%,87.7358%,86.5260%,2.3060%,3.3040%,79.0094%,79.0584%,2.7383%,3.9807%,70.0472%,69.4805%,3.4264%,4.9377%,60.3774%,59.7403%,4.1572%,5.9760%,50.4717%,49.6753%,5.0377%,7.2034%,41.9811%,40.4221%,6.0339%,8.4407%,33.0189%,31.3312%,7.1648%,9.8772%,26.6509%,25.3247%,8.8558%,12.2257%,20.2830%,18.8312%,10.4878%,14.1463%,16.0377%,14.9351%,12.5926%,17.0370%,11.0849%,10.3896%,13.5057%,18.3908%,7.7830%,7.1429%,14.6018%,19.4690%,7.0755%,6.1688%,19.4805%,24.6753%,5.4245%,4.8701%,20.5357%,26.7857%,4.2453%,3.5714%,20.4545%,25.0000%,3.7736%,2.9221%,24.2424%,27.2727%,2.8302%,2.2727%,20.0000%,23.3333%,2.3585%,1.9481%,20.0000%,24.0000%
kitty,82.0078%,78.3195%,6.4632%,7.7579%,58.2790%,54.0456%,11.0479%,12.8769%,42.6336%,39.1079%,15.4100%,17.7663%,30.5085%,27.0747%,25.0000%,27.8846%,23.9896%,21.4730%,28.4830%,32.0433%,17.6010%,15.8714%,30.9633%,35.0917%,15.1239%,13.2780%,34.1176%,37.6471%,13.0378%,11.4108%,35.2113%,38.7324%,11.7340%,10.2697%,37.8151%,41.5966%,10.1695%,9.0249%,37.1429%,41.4286%,8.7353%,7.7801%,39.4118%,44.1176%,7.3012%,6.4315%,41.7910%,46.2687%,6.5189%,5.6017%,43.8596%,47.3684%,5.8670%,5.0830%,45.0000%,49.0000%,5.0847%,4.4606%,44.3182%,48.8636%,4.5632%,3.9419%,44.8718%,48.7179%,3.9113%,3.4232%,42.8571%,47.1429%,3.3898%,3.0083%,44.8276%,50.0000%,3.2595%,2.9046%,48.0769%,53.8462%,3.2595%,2.9046%,48.0769%,53.8462%
kivy,76.3775%,75.9554%,1.6151%,1.9164%,54.7182%,54.4055%,2.8356%,3.3640%,40.0887%,38.7473%,4.4534%,5.1358%,31.9189%,30.2017%,6.2485%,7.0543%,24.9525%,23.3015%,8.0114%,8.9264%,18.5560%,17.4628%,9.5378%,10.7096%,14.3129%,13.4820%,10.9390%,12.2943%,11.0196%,10.2972%,12.5000%,13.9368%,8.5497%,7.9618%,14.0041%,15.5602%,6.8398%,6.5287%,15.9292%,18.1416%,5.3198%,4.9363%,17.2131%,19.0574%,4.1165%,3.8747%,18.4659%,20.7386%,3.2932%,3.1316%,18.5714%,21.0714%,2.9132%,2.7070%,20.9091%,23.1818%,2.6599%,2.4947%,22.3404%,25.0000%,2.0899%,1.8577%,24.6269%,26.1194%,1.5833%,1.4331%,24.5098%,26.4706%,1.3300%,1.2208%,26.9231%,29.4872%,1.2666%,1.1677%,30.3030%,33.3333%,0.9500%,0.9023%,30.0000%,34.0000%
koalas,84.1499%,81.3808%,6.8129%,9.0761%,67.1470%,63.8075%,11.0952%,14.5238%,54.1787%,52.3013%,14.3951%,19.1424%,44.9568%,44.3515%,16.7742%,22.7957%,37.4640%,37.8661%,17.4731%,24.3280%,33.7176%,33.8912%,20.6714%,28.6219%,32.2767%,30.7531%,24.2424%,31.8182%,27.3775%,26.5690%,25.6757%,34.3243%,25.9366%,24.6862%,28.1250%,36.8750%,25.0720%,23.4310%,30.0000%,38.6207%,23.0548%,21.3389%,31.7460%,40.4762%,21.6138%,19.6653%,32.3276%,40.5172%,20.1729%,18.4100%,32.1101%,40.3670%,19.0202%,17.5732%,31.7308%,40.3846%,17.8674%,16.7364%,33.3333%,43.0108%,17.5793%,16.1088%,34.2697%,43.2584%,17.5793%,16.1088%,35.0575%,44.2529%,16.7147%,15.4812%,34.9398%,44.5783%,16.7147%,14.8536%,36.2500%,44.3750%,16.4265%,14.4351%,37.5000%,45.3947%
kornia,94.8998%,90.6452%,1.1470%,1.2373%,77.7778%,74.1935%,1.1502%,1.2391%,66.3024%,63.3871%,1.5509%,1.6745%,53.9162%,51.7742%,1.9144%,2.0761%,39.5264%,38.0645%,2.8903%,3.1433%,29.6903%,28.8710%,4.3420%,4.7682%,22.0401%,20.8065%,5.9198%,6.3112%,16.0291%,15.0000%,7.3456%,7.7629%,12.3862%,11.6129%,9.8551%,10.4348%,9.1075%,8.5484%,12.1359%,12.8641%,6.9217%,6.4516%,13.1034%,13.7931%,5.2823%,4.8387%,13.6792%,14.1509%,3.6430%,3.3871%,13.8889%,14.5833%,2.5501%,2.4194%,14.5833%,15.6250%,2.1858%,2.0968%,17.6471%,19.1176%,1.8215%,1.7742%,17.8571%,19.6429%,1.6393%,1.6129%,22.5000%,25.0000%,1.2750%,1.2903%,21.8750%,25.0000%,1.2750%,1.2903%,25.0000%,28.5714%,1.0929%,0.9677%,30.0000%,30.0000%
labelme,100.0000%,96.0526%,4.1126%,5.2670%,70.1754%,60.5263%,9.9010%,11.3861%,29.8246%,25.0000%,11.9718%,13.3803%,15.7895%,14.4737%,12.1622%,14.8649%,15.7895%,14.4737%,21.4286%,26.1905%,10.5263%,10.5263%,18.7500%,25.0000%,10.5263%,9.2105%,27.2727%,31.8182%,10.5263%,9.2105%,30.0000%,35.0000%,8.7719%,7.8947%,31.2500%,37.5000%,8.7719%,7.8947%,31.2500%,37.5000%,8.7719%,7.8947%,41.6667%,50.0000%,8.7719%,7.8947%,41.6667%,50.0000%,5.2632%,5.2632%,37.5000%,50.0000%,5.2632%,5.2632%,37.5000%,50.0000%,5.2632%,5.2632%,50.0000%,66.6667%,5.2632%,5.2632%,50.0000%,66.6667%,3.5088%,2.6316%,50.0000%,50.0000%,3.5088%,2.6316%,50.0000%,50.0000%,3.5088%,2.6316%,50.0000%,50.0000%,3.5088%,2.6316%,50.0000%,50.0000%
Lasagne,74.5665%,73.2240%,8.1853%,8.5025%,47.3988%,45.9016%,11.2329%,11.5068%,35.8382%,34.9727%,16.6667%,17.2043%,29.4798%,27.8689%,20.7317%,20.7317%,26.5896%,25.1366%,23.4694%,23.4694%,22.5434%,21.3115%,27.0833%,27.0833%,17.3410%,16.3934%,30.6122%,30.6122%,15.0289%,14.2077%,32.5000%,32.5000%,14.4509%,13.6612%,37.8788%,37.8788%,12.1387%,11.4754%,36.2069%,36.2069%,11.5607%,10.9290%,35.7143%,35.7143%,10.4046%,9.8361%,36.0000%,36.0000%,8.0925%,7.6503%,33.3333%,33.3333%,8.0925%,7.6503%,41.1765%,41.1765%,7.5145%,7.1038%,40.6250%,40.6250%,6.9364%,6.5574%,40.0000%,40.0000%,6.9364%,6.5574%,40.0000%,40.0000%,3.4682%,3.2787%,33.3333%,33.3333%,2.8902%,2.7322%,31.2500%,31.2500%,2.3121%,2.1858%,28.5714%,28.5714%
lbry-sdk,86.1298%,80.5901%,1.4726%,1.9852%,43.6242%,36.9565%,7.0448%,8.5983%,23.3781%,20.3416%,14.2760%,17.8962%,14.5414%,13.0435%,18.4136%,23.7960%,10.0671%,8.7733%,21.9512%,27.5610%,7.7181%,6.5994%,27.6000%,34.0000%,6.2640%,5.5124%,29.7872%,37.7660%,4.9217%,4.5031%,32.8358%,43.2836%,3.8031%,3.5714%,31.4815%,42.5926%,3.0201%,2.5621%,34.6154%,42.3077%,2.7964%,2.3292%,36.7647%,44.1176%,1.9016%,1.7081%,35.4167%,45.8333%,1.6779%,1.4752%,41.6667%,52.7778%,1.3423%,1.0870%,46.1538%,53.8462%,1.2304%,1.0093%,45.8333%,54.1667%,1.0067%,0.8540%,45.0000%,55.0000%,1.0067%,0.8540%,45.0000%,55.0000%,1.0067%,0.8540%,45.0000%,55.0000%,0.8949%,0.7764%,44.4444%,55.5556%,0.5593%,0.4658%,41.6667%,50.0000%
lektor,94.1176%,91.8919%,3.4618%,5.3501%,76.4706%,76.0135%,4.9040%,7.7160%,52.9412%,53.7162%,6.5824%,10.5718%,41.1765%,42.5676%,9.9483%,16.2791%,28.3422%,31.0811%,10.4331%,18.1102%,19.7861%,22.6351%,12.6712%,22.9452%,13.3690%,16.8919%,14.0449%,28.0899%,10.6952%,13.1757%,16.6667%,32.5000%,9.6257%,10.1351%,23.0769%,38.4615%,6.9519%,7.0946%,26.0000%,42.0000%,5.8824%,5.4054%,30.5556%,44.4444%,4.8128%,4.3919%,32.1429%,46.4286%,4.2781%,4.0541%,30.7692%,46.1538%,2.6738%,3.0405%,27.7778%,50.0000%,1.0695%,1.3514%,25.0000%,50.0000%,0.5348%,0.6757%,25.0000%,50.0000%,0.5348%,0.3378%,50.0000%,50.0000%,0.5348%,0.3378%,50.0000%,50.0000%,0.5348%,0.3378%,50.0000%,50.0000%,0.5348%,0.3378%,50.0000%,50.0000%
libcloud,51.9868%,51.3913%,3.5433%,3.8109%,27.7673%,26.8261%,6.4991%,6.8313%,16.5090%,15.8696%,7.8146%,8.1729%,11.1637%,10.8696%,10.9564%,11.6063%,8.7512%,8.5217%,13.5234%,14.3275%,6.9063%,6.6522%,15.6989%,16.4516%,5.7711%,5.5652%,18.5976%,19.5122%,4.1627%,4.0435%,18.5654%,19.6203%,3.6424%,3.5652%,21.1538%,22.5275%,2.8382%,2.8261%,23.2558%,25.1938%,2.0814%,2.1304%,25.5814%,28.4884%,1.8921%,1.8696%,30.7692%,33.0769%,1.6556%,1.6087%,34.3137%,36.2745%,1.3245%,1.3043%,40.0000%,42.8571%,1.1826%,1.1739%,40.3226%,43.5484%,1.1353%,1.1304%,42.8571%,46.4286%,0.9934%,0.9565%,43.7500%,45.8333%,0.8988%,0.8696%,45.2381%,47.6190%,0.8515%,0.8261%,45.0000%,47.5000%,0.7096%,0.6957%,44.1176%,47.0588%
linkchecker,93.5897%,91.2129%,2.3848%,3.0096%,48.2372%,48.5149%,2.6947%,3.5094%,41.0256%,40.8416%,4.2468%,5.4745%,37.5000%,36.8812%,4.6632%,5.9386%,32.6923%,32.3020%,5.1935%,6.6446%,28.0449%,27.7228%,6.2013%,7.9376%,24.3590%,24.0099%,7.5622%,9.6517%,20.9936%,21.0396%,8.7450%,11.3485%,17.9487%,17.5743%,9.8940%,12.5442%,16.3462%,15.7178%,11.5124%,14.3341%,13.3013%,12.7475%,12.2059%,15.1471%,11.2179%,10.6436%,13.3588%,16.4122%,9.6154%,9.4059%,15.0000%,19.0000%,8.9744%,8.7871%,16.8675%,21.3855%,8.1731%,8.1683%,18.6131%,24.0876%,7.3718%,7.1782%,20.3540%,25.6637%,6.4103%,6.3119%,20.6186%,26.2887%,5.7692%,5.4455%,23.0769%,28.2051%,5.6090%,5.0743%,25.0000%,29.2857%,5.1282%,4.7030%,25.0000%,29.6875%
localstack,84.1450%,81.7996%,2.5059%,2.6981%,58.5504%,56.4417%,7.0900%,7.5699%,43.4881%,41.4110%,11.2281%,11.8421%,35.9003%,34.2536%,14.4353%,15.2550%,29.5583%,28.1186%,16.5820%,17.4714%,26.0476%,24.6421%,19.8618%,20.8117%,23.5561%,22.2904%,23.5828%,24.7166%,20.7248%,19.5297%,25.7746%,26.9014%,18.6863%,17.3824%,28.3505%,29.2096%,16.8743%,15.7464%,30.4082%,31.4286%,13.5900%,12.7812%,31.5789%,32.8947%,11.8913%,11.2474%,32.6087%,34.1615%,10.5323%,9.8160%,34.1912%,35.2941%,9.3998%,8.6912%,34.5833%,35.4167%,8.4938%,7.8732%,35.0467%,35.9813%,7.9275%,7.3620%,35.3535%,36.3636%,6.9083%,6.4417%,36.7470%,37.9518%,6.3420%,5.9305%,36.8421%,38.1579%,5.8890%,5.5215%,37.6812%,39.1304%,5.3228%,5.0102%,36.1538%,37.6923%
